,Vehicle_ID,Frame_ID,Total_Frames,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Vel,v_Acc,Lane_ID,Preceding,Following,Space_Headway,Time_Headway
11027,36,4,1005,27.126,75.567,6042848.877,2133146.021,24.8,11.08,0.0,3,0,0,0.0,0.0
11028,36,5,1005,27.126,76.568,6042848.754,2133147.014,24.8,11.08,0.0,3,0,0,0.0,0.0
11029,36,6,1005,27.126,77.567,6042848.631,2133148.006,24.8,11.08,0.0,3,0,0,0.0,0.0
11030,36,7,1005,27.127,78.067,6042848.57,2133148.502,24.8,11.08,0.0,3,0,0,0.0,0.0
11031,36,8,1005,27.625,81.067,6042848.696,2133151.541,24.8,11.08,0.0,3,0,0,0.0,0.0
11032,36,9,1005,27.586,81.373,6042848.623,2133151.813,24.8,11.08,-11.2,3,0,0,0.0,0.0
11033,36,10,1005,27.617,82.388,6042848.533,2133152.788,24.8,9.57,-3.54,3,0,0,0.0,0.0
11034,36,11,1005,27.579,83.219,6042848.391,2133153.629,24.8,9.92,11.2,3,0,0,0.0,0.0
0,1,12,884,16.884,48.213,6042842.116,2133117.662,14.3,12.5,0.0,2,0,0,0.0,0.0
11035,36,12,1005,27.492,84.274,6042848.175,2133154.661,24.8,11.16,10.67,3,0,0,0.0,0.0
1,1,13,884,16.938,49.463,6042842.012,2133118.909,14.3,12.5,0.0,2,0,0,0.0,0.0
11036,36,13,1005,27.433,85.465,6042847.962,2133155.905,24.8,11.99,6.76,3,0,0,0.0,0.0
2,1,14,884,16.991,50.712,6042841.908,2133120.155,14.3,12.5,0.0,2,0,0,0.0,0.0
11037,36,14,1005,27.423,86.736,6042847.797,2133157.155,24.8,12.45,1.49,3,0,0,0.0,0.0
3,1,15,884,17.045,51.963,6042841.805,2133121.402,14.3,12.5,0.0,2,0,0,0.0,0.0
11038,36,15,1005,27.434,88.003,6042847.654,2133158.401,24.8,12.53,-0.3,3,0,0,0.0,0.0
4,1,16,884,17.098,53.213,6042841.701,2133122.649,14.3,12.5,0.0,2,0,0,0.0,0.0
11039,36,16,1005,27.434,89.254,6042847.5,2133159.641,24.8,12.51,-0.16,3,0,0,0.0,0.0
5,1,17,884,17.151,54.463,6042841.597,2133123.895,14.3,12.49,-0.09,2,0,0,0.0,0.0
11040,36,17,1005,27.435,90.505,6042847.347,2133160.882,24.8,12.48,-0.29,3,0,0,0.0,0.0
6,1,18,884,17.204,55.712,6042841.493,2133125.142,14.3,12.48,-0.08,2,0,0,0.0,0.0
11041,36,18,1005,27.434,91.752,6042847.193,2133162.122,24.8,12.46,-0.31,3,0,0,0.0,0.0
7,1,19,884,17.257,56.956,6042841.389,2133126.389,14.3,12.52,0.55,2,0,0,0.0,0.0
11042,36,19,1005,27.435,92.982,6042847.04,2133163.363,24.8,12.56,1.86,3,0,0,0.0,0.0
8,1,20,884,17.33,58.199,6042841.306,2133127.628,14.3,12.67,2.21,2,0,0,0.0,0.0
11043,36,20,1005,27.435,94.218,6042846.89,2133164.573,24.8,13.01,6.49,3,0,0,0.0,0.0
9,1,21,884,17.289,59.463,6042841.107,2133128.871,14.3,13.0,4.43,2,0,0,0.0,0.0
11044,36,21,1005,27.438,95.521,6042846.737,2133165.833,24.8,13.89,11.2,3,0,0,0.0,0.0
10,1,22,884,17.197,60.776,6042840.852,2133130.155,14.3,13.49,5.64,2,0,0,0.0,0.0
11045,36,22,1005,27.444,96.977,6042846.564,2133167.278,24.8,15.12,11.2,3,0,0,0.0,0.0
11,1,23,884,17.027,62.157,6042840.51,2133131.507,14.3,13.98,4.77,2,0,0,0.0,0.0
11046,36,23,1005,27.438,98.546,6042846.365,2133168.835,24.8,16.36,11.2,3,0,0,0.0,0.0
12,1,24,884,16.863,63.592,6042840.166,2133132.922,14.3,14.36,2.84,2,0,0,0.0,0.0
11047,36,24,1005,27.436,100.268,6042846.147,2133170.577,24.8,17.24,6.52,3,0,0,0.0,0.0
13,1,25,884,16.752,65.054,6042839.872,2133134.362,14.3,14.58,1.17,2,0,0,0.0,0.0
